epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,257.935,0.61929,0.42038,0.85391,0.98461,0.88696,0.9282,0.71399,0.79686,0.50607,0.92777,0.000624721,0.000624721,0.000624721
44,263.895,0.59811,0.41805,0.85437,0.99296,0.88355,0.94475,0.66443,0.9533,0.50588,0.95094,0.000609463,0.000609463,0.000609463
45,269.768,0.61423,0.4088,0.85417,0.95868,0.88523,0.95644,0.71618,0.87906,0.4955,0.94221,0.000594097,0.000594097,0.000594097
46,275.8,0.5965,0.40148,0.8404,0.96694,0.88652,0.96326,0.72777,0.8271,0.46051,0.92234,0.000578639,0.000578639,0.000578639
47,281.842,0.60658,0.40561,0.84752,0.99026,0.88717,0.93889,0.72232,0.83459,0.48865,0.92969,0.000563104,0.000563104,0.000563104
48,287.811,0.56585,0.38634,0.84575,0.9734,0.88813,0.93457,0.73965,0.78104,0.479,0.92288,0.000547507,0.000547507,0.000547507
49,293.849,0.57042,0.39112,0.84569,0.94357,0.88626,0.95422,0.73832,0.79291,0.49017,0.92731,0.000531864,0.000531864,0.000531864
50,299.955,0.56097,0.38294,0.84486,0.98992,0.89481,0.95658,0.73089,0.80927,0.47033,0.92626,0.00051619,0.00051619,0.00051619
51,305.848,0.54975,0.37431,0.84741,0.98279,0.8735,0.9533,0.73183,0.78576,0.4735,0.92015,0.0005005,0.0005005,0.0005005
52,311.869,0.53353,0.36703,0.84225,0.99039,0.88942,0.95953,0.727,0.79364,0.45445,0.91496,0.00048481,0.00048481,0.00048481
53,317.793,0.54638,0.37234,0.83249,0.9905,0.89498,0.95535,0.75282,0.801,0.46601,0.92631,0.000469136,0.000469136,0.000469136
54,323.944,0.53417,0.36666,0.83562,0.98156,0.88325,0.95872,0.74496,0.75476,0.45755,0.90878,0.000453493,0.000453493,0.000453493
55,329.906,0.53869,0.36757,0.84304,0.98859,0.87594,0.9365,0.72518,0.76818,0.47762,0.91804,0.000437896,0.000437896,0.000437896
56,335.887,0.53413,0.36594,0.83516,0.99149,0.88949,0.94384,0.74269,0.76665,0.45002,0.91713,0.000422361,0.000422361,0.000422361
57,341.762,0.51927,0.35785,0.82977,0.98646,0.87781,0.92309,0.76325,0.72475,0.46739,0.90083,0.000406903,0.000406903,0.000406903
58,347.833,0.51631,0.35023,0.83293,0.98925,0.89186,0.93448,0.72493,0.83617,0.48482,0.92598,0.000391537,0.000391537,0.000391537
59,353.721,0.50658,0.35059,0.83331,0.98134,0.88356,0.95773,0.74124,0.77167,0.46899,0.90942,0.000376279,0.000376279,0.000376279
60,359.668,0.50647,0.34407,0.83475,0.95469,0.89651,0.95378,0.75301,0.74425,0.46531,0.90318,0.000361144,0.000361144,0.000361144
61,365.544,0.49744,0.34151,0.82895,0.96745,0.8905,0.93804,0.73477,0.7906,0.46739,0.91691,0.000346146,0.000346146,0.000346146
62,371.524,0.50363,0.34575,0.83108,0.98539,0.86125,0.92463,0.74222,0.77437,0.46968,0.91389,0.0003313,0.0003313,0.0003313
63,377.42,0.48082,0.33194,0.83098,0.96319,0.87663,0.95689,0.7503,0.73832,0.45652,0.90173,0.000316622,0.000316622,0.000316622
64,383.37,0.48165,0.33079,0.81746,0.98475,0.87488,0.95666,0.73391,0.76208,0.43019,0.90338,0.000302125,0.000302125,0.000302125
65,389.235,0.46486,0.32275,0.82485,0.97173,0.89095,0.93165,0.73288,0.76088,0.42662,0.90394,0.000287823,0.000287823,0.000287823
66,395.182,0.47427,0.33322,0.82568,0.98879,0.89481,0.96666,0.76959,0.7487,0.41321,0.90286,0.000273732,0.000273732,0.000273732
67,401.16,0.47261,0.32709,0.82479,0.98934,0.88768,0.96572,0.75796,0.77592,0.44706,0.9085,0.000259864,0.000259864,0.000259864
68,407.127,0.46861,0.31808,0.82557,0.98843,0.89454,0.96249,0.75572,0.76188,0.43533,0.90311,0.000246234,0.000246234,0.000246234
69,412.987,0.46877,0.32181,0.82298,0.97674,0.87481,0.95787,0.76989,0.69874,0.43759,0.89394,0.000232855,0.000232855,0.000232855
70,418.936,0.45328,0.31791,0.82644,0.97801,0.8923,0.96268,0.77464,0.71572,0.44532,0.89531,0.000219739,0.000219739,0.000219739
71,424.94,0.44415,0.31485,0.82093,0.98097,0.89208,0.95261,0.75763,0.73774,0.46487,0.8989,0.000206901,0.000206901,0.000206901
72,430.882,0.45692,0.32049,0.82291,0.98322,0.87709,0.95059,0.72958,0.76974,0.45402,0.90508,0.000194353,0.000194353,0.000194353
73,436.803,0.4439,0.31039,0.82096,0.98975,0.87754,0.96188,0.76646,0.70903,0.429,0.89554,0.000182107,0.000182107,0.000182107
74,442.751,0.4394,0.31147,0.82497,0.98992,0.89481,0.95221,0.74431,0.77757,0.45496,0.90588,0.000170175,0.000170175,0.000170175
75,448.668,0.43169,0.30356,0.82523,0.98844,0.89481,0.95434,0.75238,0.77095,0.44649,0.90786,0.000158569,0.000158569,0.000158569
76,454.628,0.44144,0.31362,0.82185,0.98961,0.89481,0.96132,0.76432,0.72975,0.40792,0.8963,0.0001473,0.0001473,0.0001473
77,460.502,0.42587,0.30295,0.82112,0.98829,0.89481,0.96165,0.74354,0.77986,0.43013,0.90844,0.00013638,0.00013638,0.00013638
78,466.454,0.43059,0.30369,0.82064,0.98859,0.89481,0.96121,0.76811,0.72029,0.41946,0.89093,0.00012582,0.00012582,0.00012582
79,472.316,0.42866,0.30134,0.81794,0.99029,0.89379,0.96682,0.7755,0.71874,0.41377,0.89283,0.000115629,0.000115629,0.000115629
80,478.37,0.41996,0.29936,0.82389,0.98714,0.89235,0.96078,0.76558,0.72935,0.42704,0.89274,0.000105818,0.000105818,0.000105818
81,484.265,0.42594,0.30335,0.82041,0.9901,0.89524,0.96442,0.75982,0.72959,0.41514,0.89369,9.6396e-05,9.6396e-05,9.6396e-05
82,490.244,0.41492,0.29454,0.81463,0.99045,0.89481,0.96513,0.76271,0.7344,0.4082,0.89196,8.73733e-05,8.73733e-05,8.73733e-05
83,496.115,0.41061,0.2934,0.81271,0.98844,0.89167,0.96906,0.7634,0.73671,0.41177,0.89566,7.87582e-05,7.87582e-05,7.87582e-05
84,502.071,0.41463,0.297,0.82393,0.95785,0.92045,0.96897,0.78451,0.68327,0.3947,0.88681,7.05594e-05,7.05594e-05,7.05594e-05
